value limit month area variable a_dim a_min a_max a_res threshold1 threshold2 threshold3
5.3 50 11 all_area wspeed 0 0 18 0.1 5 10 NA
7.5 75 11 all_area wspeed 0 0 18 0.1 5 10 NA
16.3 max 11 all_area wspeed 0 0 18 0.1 5 10 NA
0.2 0 12 all_area wspeed 0 0 18 0.1 5 10 NA
2.8 25 12 all_area wspeed 0 0 18 0.1 5 10 NA
4.4 50 12 all_area wspeed 0 0 18 0.1 5 10 NA
6.4 75 12 all_area wspeed 0 0 18 0.1 5 10 NA
14.8 max 12 all_area wspeed 0 0 18 0.1 5 10 NA
0.45 0 01 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 01 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 01 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 01 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 01 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 02 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 02 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 02 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 02 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 02 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 03 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 03 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 03 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 03 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 03 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 04 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 04 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 04 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 04 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 04 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
