value limit month area variable a_dim a_min a_max a_res
0.7 0 10 all_area wspeed 0 0 18 0.1
3.7 25 10 all_area wspeed 0 0 18 0.1
5.2 50 10 all_area wspeed 0 0 18 0.1
7 75 10 all_area wspeed 0 0 18 0.1
16.1 max 10 all_area wspeed 0 0 18 0.1
0.5 0 11 all_area wspeed 0 0 18 0.1
3.3 25 11 all_area wspeed 0 0 18 0.1
5.3 50 11 all_area wspeed 0 0 18 0.1
7.5 75 11 all_area wspeed 0 0 18 0.1
16.3 max 11 all_area wspeed 0 0 18 0.1
0.2 0 12 all_area wspeed 0 0 18 0.1
2.8 25 12 all_area wspeed 0 0 18 0.1
4.4 50 12 all_area wspeed 0 0 18 0.1
6.4 75 12 all_area wspeed 0 0 18 0.1
14.8 max 12 all_area wspeed 0 0 18 0.1
0.45 0 01 all_area fuelprice 0 0.4 1 0.05
0.515 25 01 all_area fuelprice 0 0.4 1 0.05
0.53 50 01 all_area fuelprice 0 0.4 1 0.05
0.54 75 01 all_area fuelprice 0 0.4 1 0.05
0.6 max 01 all_area fuelprice 0 0.4 1 0.05
0.45 0 02 all_area fuelprice 0 0.4 1 0.05
0.515 25 02 all_area fuelprice 0 0.4 1 0.05
0.53 50 02 all_area fuelprice 0 0.4 1 0.05
0.54 75 02 all_area fuelprice 0 0.4 1 0.05
0.6 max 02 all_area fuelprice 0 0.4 1 0.05
0.45 0 03 all_area fuelprice 0 0.4 1 0.05
0.515 25 03 all_area fuelprice 0 0.4 1 0.05
0.53 50 03 all_area fuelprice 0 0.4 1 0.05
0.54 75 03 all_area fuelprice 0 0.4 1 0.05
0.6 max 03 all_area fuelprice 0 0.4 1 0.05
0.45 0 04 all_area fuelprice 0 0.4 1 0.05
0.515 25 04 all_area fuelprice 0 0.4 1 0.05
0.53 50 04 all_area fuelprice 0 0.4 1 0.05
0.54 75 04 all_area fuelprice 0 0.4 1 0.05
0.6 max 04 all_area fuelprice 0 0.4 1 0.05
0.45 0 05 all_area fuelprice 0 0.4 1 0.05
0.515 25 05 all_area fuelprice 0 0.4 1 0.05
0.53 50 05 all_area fuelprice 0 0.4 1 0.05
0.54 75 05 all_area fuelprice 0 0.4 1 0.05
0.6 max 05 all_area fuelprice 0 0.4 1 0.05
0.45 0 06 all_area fuelprice 0 0.4 1 0.05
0.515 25 06 all_area fuelprice 0 0.4 1 0.05
0.53 50 06 all_area fuelprice 0 0.4 1 0.05
0.54 75 06 all_area fuelprice 0 0.4 1 0.05
0.6 max 06 all_area fuelprice 0 0.4 1 0.05
0.45 0 07 all_area fuelprice 0 0.4 1 0.05
0.515 25 07 all_area fuelprice 0 0.4 1 0.05
0.53 50 07 all_area fuelprice 0 0.4 1 0.05
0.54 75 07 all_area fuelprice 0 0.4 1 0.05
0.6 max 07 all_area fuelprice 0 0.4 1 0.05
0.45 0 08 all_area fuelprice 0 0.4 1 0.05
0.515 25 08 all_area fuelprice 0 0.4 1 0.05
0.53 50 08 all_area fuelprice 0 0.4 1 0.05
0.54 75 08 all_area fuelprice 0 0.4 1 0.05
0.6 max 08 all_area fuelprice 0 0.4 1 0.05
0.45 0 09 all_area fuelprice 0 0.4 1 0.05
0.515 25 09 all_area fuelprice 0 0.4 1 0.05
0.53 50 09 all_area fuelprice 0 0.4 1 0.05
0.54 75 09 all_area fuelprice 0 0.4 1 0.05
0.6 max 09 all_area fuelprice 0 0.4 1 0.05
0.45 0 10 all_area fuelprice 0 0.4 1 0.05
0.515 25 10 all_area fuelprice 0 0.4 1 0.05
0.53 50 10 all_area fuelprice 0 0.4 1 0.05
0.54 75 10 all_area fuelprice 0 0.4 1 0.05
0.6 max 10 all_area fuelprice 0 0.4 1 0.05
0.45 0 11 all_area fuelprice 0 0.4 1 0.05
0.515 25 11 all_area fuelprice 0 0.4 1 0.05
0.53 50 11 all_area fuelprice 0 0.4 1 0.05
0.54 75 11 all_area fuelprice 0 0.4 1 0.05
0.6 max 11 all_area fuelprice 0 0.4 1 0.05
0.45 0 12 all_area fuelprice 0 0.4 1 0.05
0.515 25 12 all_area fuelprice 0 0.4 1 0.05
0.53 50 12 all_area fuelprice 0 0.4 1 0.05
0.54 75 12 all_area fuelprice 0 0.4 1 0.05
0.6 max 12 all_area fuelprice 0 0.4 1 0.05
9.358974359 0 01 all_area fishprice 10 8.547008547 38.546162309 0.1
11.345365347 25 01 all_area fishprice 10 8.547008547 38.546162309 0.1
13.491054131 50 01 all_area fishprice 10 8.547008547 38.546162309 0.1
17.9906715725 75 01 all_area fishprice 10 8.547008547 38.546162309 0.1
33.151104661 max 01 all_area fishprice 10 8.547008547 38.546162309 0.1
9.4017094017 0 02 all_area fishprice 10 8.547008547 38.546162309 0.1
11.66675394 25 02 all_area fishprice 10 8.547008547 38.546162309 0.1
13.567668139 50 02 all_area fishprice 10 8.547008547 38.546162309 0.1
14.72972973 75 02 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 02 all_area fishprice 10 8.547008547 38.546162309 0.1
9.8830147228 0 03 all_area fishprice 10 8.547008547 38.546162309 0.1
11.4134357895 25 03 all_area fishprice 10 8.547008547 38.546162309 0.1
12.8172915865 50 03 all_area fishprice 10 8.547008547 38.546162309 0.1
13.81599966275 75 03 all_area fishprice 10 8.547008547 38.546162309 0.1
18.4004884 max 03 all_area fishprice 10 8.547008547 38.546162309 0.1
11.111111111 0 04 all_area fishprice 10 8.547008547 38.546162309 0.1
11.752136752 25 04 all_area fishprice 10 8.547008547 38.546162309 0.1
12.393162393 50 04 all_area fishprice 10 8.547008547 38.546162309 0.1
13.034188034 75 04 all_area fishprice 10 8.547008547 38.546162309 0.1
13.675213675 max 04 all_area fishprice 10 8.547008547 38.546162309 0.1
8.547008547 0 05 all_area fishprice 10 8.547008547 38.546162309 0.1
12.84723203575 25 05 all_area fishprice 10 8.547008547 38.546162309 0.1
15.4914529915 50 05 all_area fishprice 10 8.547008547 38.546162309 0.1
18.1623931625 75 05 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 05 all_area fishprice 10 8.547008547 38.546162309 0.1
13.675213675 0 06 all_area fishprice 10 8.547008547 38.546162309 0.1
13.675213675 25 06 all_area fishprice 10 8.547008547 38.546162309 0.1
14.102564103 50 06 all_area fishprice 10 8.547008547 38.546162309 0.1
17.094017094 75 06 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 06 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 0 07 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 25 07 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 50 07 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 75 07 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 07 all_area fishprice 10 8.547008547 38.546162309 0.1
14.102564103 0 08 all_area fishprice 10 8.547008547 38.546162309 0.1
17.4145299145 25 08 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 50 08 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 75 08 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 08 all_area fishprice 10 8.547008547 38.546162309 0.1
14.52991453 0 09 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 25 09 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 50 09 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 75 09 all_area fishprice 10 8.547008547 38.546162309 0.1
21.367521368 max 09 all_area fishprice 10 8.547008547 38.546162309 0.1
10.47008547 0 10 all_area fishprice 10 8.547008547 38.546162309 0.1
13.675213675 25 10 all_area fishprice 10 8.547008547 38.546162309 0.1
16.829985301 50 10 all_area fishprice 10 8.547008547 38.546162309 0.1
17.094017094 75 10 all_area fishprice 10 8.547008547 38.546162309 0.1
29.05982906 max 10 all_area fishprice 10 8.547008547 38.546162309 0.1
11.764705882 0 11 all_area fishprice 10 8.547008547 38.546162309 0.1
13.675213675 25 11 all_area fishprice 10 8.547008547 38.546162309 0.1
20.197670198 50 11 all_area fishprice 10 8.547008547 38.546162309 0.1
23.59110955 75 11 all_area fishprice 10 8.547008547 38.546162309 0.1
25.434472934 max 11 all_area fishprice 10 8.547008547 38.546162309 0.1
9.953129308 0 12 all_area fishprice 10 8.547008547 38.546162309 0.1
14.31375472075 25 12 all_area fishprice 10 8.547008547 38.546162309 0.1
19.766443336 50 12 all_area fishprice 10 8.547008547 38.546162309 0.1
24.146518114 75 12 all_area fishprice 10 8.547008547 38.546162309 0.1
38.546162309 max 12 all_area fishprice 10 8.547008547 38.546162309 0.1
NA 0 01 all_area fishprice 11 NA NA 0.1
NA 25 01 all_area fishprice 11 NA NA 0.1
NA 50 01 all_area fishprice 11 NA NA 0.1
NA 75 01 all_area fishprice 11 NA NA 0.1
NA max 01 all_area fishprice 11 NA NA 0.1
NA 0 02 all_area fishprice 11 NA NA 0.1
NA 25 02 all_area fishprice 11 NA NA 0.1
NA 50 02 all_area fishprice 11 NA NA 0.1
NA 75 02 all_area fishprice 11 NA NA 0.1
NA max 02 all_area fishprice 11 NA NA 0.1
8.547008547 0 03 all_area fishprice 11 NA NA 0.1
8.6051000448 25 03 all_area fishprice 11 NA NA 0.1
8.6631915426 50 03 all_area fishprice 11 NA NA 0.1
8.9897154294 75 03 all_area fishprice 11 NA NA 0.1
9.3162393162 max 03 all_area fishprice 11 NA NA 0.1
NA 0 04 all_area fishprice 11 NA NA 0.1
NA 25 04 all_area fishprice 11 NA NA 0.1
NA 50 04 all_area fishprice 11 NA NA 0.1
NA 75 04 all_area fishprice 11 NA NA 0.1
NA max 04 all_area fishprice 11 NA NA 0.1
32.026862027 0 05 all_area fishprice 11 NA NA 0.1
36.57291808925 25 05 all_area fishprice 11 NA NA 0.1
41.1189741515 50 05 all_area fishprice 11 NA NA 0.1
45.66503021375 75 05 all_area fishprice 11 NA NA 0.1
50.211086276 max 05 all_area fishprice 11 NA NA 0.1
NA 0 06 all_area fishprice 11 NA NA 0.1
NA 25 06 all_area fishprice 11 NA NA 0.1
NA 50 06 all_area fishprice 11 NA NA 0.1
NA 75 06 all_area fishprice 11 NA NA 0.1
NA max 06 all_area fishprice 11 NA NA 0.1
7.9035897436 0 07 all_area fishprice 11 NA NA 0.1
7.9035897436 25 07 all_area fishprice 11 NA NA 0.1
7.9035897436 50 07 all_area fishprice 11 NA NA 0.1
7.9035897436 75 07 all_area fishprice 11 NA NA 0.1
7.9035897436 max 07 all_area fishprice 11 NA NA 0.1
NA 0 08 all_area fishprice 11 NA NA 0.1
NA 25 08 all_area fishprice 11 NA NA 0.1
NA 50 08 all_area fishprice 11 NA NA 0.1
NA 75 08 all_area fishprice 11 NA NA 0.1
NA max 08 all_area fishprice 11 NA NA 0.1
NA 0 09 all_area fishprice 11 NA NA 0.1
NA 25 09 all_area fishprice 11 NA NA 0.1
NA 50 09 all_area fishprice 11 NA NA 0.1
NA 75 09 all_area fishprice 11 NA NA 0.1
NA max 09 all_area fishprice 11 NA NA 0.1
NA 0 10 all_area fishprice 11 NA NA 0.1
NA 25 10 all_area fishprice 11 NA NA 0.1
NA 50 10 all_area fishprice 11 NA NA 0.1
NA 75 10 all_area fishprice 11 NA NA 0.1
NA max 10 all_area fishprice 11 NA NA 0.1
NA 0 11 all_area fishprice 11 NA NA 0.1
NA 25 11 all_area fishprice 11 NA NA 0.1
NA 50 11 all_area fishprice 11 NA NA 0.1
NA 75 11 all_area fishprice 11 NA NA 0.1
NA max 11 all_area fishprice 11 NA NA 0.1
NA 0 12 all_area fishprice 11 NA NA 0.1
NA 25 12 all_area fishprice 11 NA NA 0.1
NA 50 12 all_area fishprice 11 NA NA 0.1
NA 75 12 all_area fishprice 11 NA NA 0.1
NA max 12 all_area fishprice 11 NA NA 0.1
7.8932740411 0 01 all_area fishprice 9 7.6923076923 76.461538462 0.1
20.519211036 25 01 all_area fishprice 9 7.6923076923 76.461538462 0.1
24.122807018 50 01 all_area fishprice 9 7.6923076923 76.461538462 0.1
41.805595862 75 01 all_area fishprice 9 7.6923076923 76.461538462 0.1
66.405086797 max 01 all_area fishprice 9 7.6923076923 76.461538462 0.1
12.56456018 0 02 all_area fishprice 9 7.6923076923 76.461538462 0.1
20.79671929 25 02 all_area fishprice 9 7.6923076923 76.461538462 0.1
23.245249317 50 02 all_area fishprice 9 7.6923076923 76.461538462 0.1
28.35310434 75 02 all_area fishprice 9 7.6923076923 76.461538462 0.1
40.267227564 max 02 all_area fishprice 9 7.6923076923 76.461538462 0.1
8.5421412301 0 03 all_area fishprice 9 7.6923076923 76.461538462 0.1
19.230769231 25 03 all_area fishprice 9 7.6923076923 76.461538462 0.1
22.075954456 50 03 all_area fishprice 9 7.6923076923 76.461538462 0.1
29.320401208 75 03 all_area fishprice 9 7.6923076923 76.461538462 0.1
38.034188034 max 03 all_area fishprice 9 7.6923076923 76.461538462 0.1
18.305509897 0 04 all_area fishprice 9 7.6923076923 76.461538462 0.1
21.73870601675 25 04 all_area fishprice 9 7.6923076923 76.461538462 0.1
27.0671811295 50 04 all_area fishprice 9 7.6923076923 76.461538462 0.1
32.219103009 75 04 all_area fishprice 9 7.6923076923 76.461538462 0.1
54.914529915 max 04 all_area fishprice 9 7.6923076923 76.461538462 0.1
16.304487179 0 05 all_area fishprice 9 7.6923076923 76.461538462 0.1
22.2756410255 25 05 all_area fishprice 9 7.6923076923 76.461538462 0.1
24.570543788 50 05 all_area fishprice 9 7.6923076923 76.461538462 0.1
28.311965812 75 05 all_area fishprice 9 7.6923076923 76.461538462 0.1
40.598290598 max 05 all_area fishprice 9 7.6923076923 76.461538462 0.1
13.667425968 0 06 all_area fishprice 9 7.6923076923 76.461538462 0.1
22.02031367575 25 06 all_area fishprice 9 7.6923076923 76.461538462 0.1
24.2877492875 50 06 all_area fishprice 9 7.6923076923 76.461538462 0.1
27.54221869575 75 06 all_area fishprice 9 7.6923076923 76.461538462 0.1
44.695360195 max 06 all_area fishprice 9 7.6923076923 76.461538462 0.1
13.461538462 0 07 all_area fishprice 9 7.6923076923 76.461538462 0.1
19.418368679 25 07 all_area fishprice 9 7.6923076923 76.461538462 0.1
25.213675214 50 07 all_area fishprice 9 7.6923076923 76.461538462 0.1
29.076923077 75 07 all_area fishprice 9 7.6923076923 76.461538462 0.1
36.324786325 max 07 all_area fishprice 9 7.6923076923 76.461538462 0.1
10.256410256 0 08 all_area fishprice 9 7.6923076923 76.461538462 0.1
19.444444444 25 08 all_area fishprice 9 7.6923076923 76.461538462 0.1
22.222222222 50 08 all_area fishprice 9 7.6923076923 76.461538462 0.1
25.641025641 75 08 all_area fishprice 9 7.6923076923 76.461538462 0.1
53.242572243 max 08 all_area fishprice 9 7.6923076923 76.461538462 0.1
11.965811966 0 09 all_area fishprice 9 7.6923076923 76.461538462 0.1
23.076923077 25 09 all_area fishprice 9 7.6923076923 76.461538462 0.1
26.064334293 50 09 all_area fishprice 9 7.6923076923 76.461538462 0.1
30.769230769 75 09 all_area fishprice 9 7.6923076923 76.461538462 0.1
76.461538462 max 09 all_area fishprice 9 7.6923076923 76.461538462 0.1
13.675213675 0 10 all_area fishprice 9 7.6923076923 76.461538462 0.1
24.30988680975 25 10 all_area fishprice 9 7.6923076923 76.461538462 0.1
27.9766381765 50 10 all_area fishprice 9 7.6923076923 76.461538462 0.1
31.64896542475 75 10 all_area fishprice 9 7.6923076923 76.461538462 0.1
37.434483259 max 10 all_area fishprice 9 7.6923076923 76.461538462 0.1
9.4017094017 0 11 all_area fishprice 9 7.6923076923 76.461538462 0.1
24.1942576875 25 11 all_area fishprice 9 7.6923076923 76.461538462 0.1
27.429860314 50 11 all_area fishprice 9 7.6923076923 76.461538462 0.1
29.40446362575 75 11 all_area fishprice 9 7.6923076923 76.461538462 0.1
37.514889279 max 11 all_area fishprice 9 7.6923076923 76.461538462 0.1
7.6923076923 0 12 all_area fishprice 9 7.6923076923 76.461538462 0.1
22.39911126975 25 12 all_area fishprice 9 7.6923076923 76.461538462 0.1
27.656124649 50 12 all_area fishprice 9 7.6923076923 76.461538462 0.1
35.314577536 75 12 all_area fishprice 9 7.6923076923 76.461538462 0.1
59.080264316 max 12 all_area fishprice 9 7.6923076923 76.461538462 0.1
11.403022275 0 01 all_area fishprice 8 5.9829059829 108.32613585 0.1
17.334247112 25 01 all_area fishprice 8 5.9829059829 108.32613585 0.1
23.357809845 50 01 all_area fishprice 8 5.9829059829 108.32613585 0.1
31.453348538 75 01 all_area fishprice 8 5.9829059829 108.32613585 0.1
70.881481481 max 01 all_area fishprice 8 5.9829059829 108.32613585 0.1
11.585275804 0 02 all_area fishprice 8 5.9829059829 108.32613585 0.1
17.369089626 25 02 all_area fishprice 8 5.9829059829 108.32613585 0.1
21.1291047625 50 02 all_area fishprice 8 5.9829059829 108.32613585 0.1
25.08716095675 75 02 all_area fishprice 8 5.9829059829 108.32613585 0.1
51.299153094 max 02 all_area fishprice 8 5.9829059829 108.32613585 0.1
5.9829059829 0 03 all_area fishprice 8 5.9829059829 108.32613585 0.1
19.0306273255 25 03 all_area fishprice 8 5.9829059829 108.32613585 0.1
23.139682367 50 03 all_area fishprice 8 5.9829059829 108.32613585 0.1
29.6490322015 75 03 all_area fishprice 8 5.9829059829 108.32613585 0.1
51.334806955 max 03 all_area fishprice 8 5.9829059829 108.32613585 0.1
11.367521368 0 04 all_area fishprice 8 5.9829059829 108.32613585 0.1
24.789158997 25 04 all_area fishprice 8 5.9829059829 108.32613585 0.1
29.202085656 50 04 all_area fishprice 8 5.9829059829 108.32613585 0.1
35.585470085 75 04 all_area fishprice 8 5.9829059829 108.32613585 0.1
66.793563833 max 04 all_area fishprice 8 5.9829059829 108.32613585 0.1
5.9829059829 0 05 all_area fishprice 8 5.9829059829 108.32613585 0.1
24.942728909 25 05 all_area fishprice 8 5.9829059829 108.32613585 0.1
28.746947497 50 05 all_area fishprice 8 5.9829059829 108.32613585 0.1
32.9083645115 75 05 all_area fishprice 8 5.9829059829 108.32613585 0.1
60.282051282 max 05 all_area fishprice 8 5.9829059829 108.32613585 0.1
13.333333333 0 06 all_area fishprice 8 5.9829059829 108.32613585 0.1
22.19612185675 25 06 all_area fishprice 8 5.9829059829 108.32613585 0.1
24.904114864 50 06 all_area fishprice 8 5.9829059829 108.32613585 0.1
27.93270404775 75 06 all_area fishprice 8 5.9829059829 108.32613585 0.1
56.794301994 max 06 all_area fishprice 8 5.9829059829 108.32613585 0.1
8.5421412301 0 07 all_area fishprice 8 5.9829059829 108.32613585 0.1
24.2930051015 25 07 all_area fishprice 8 5.9829059829 108.32613585 0.1
27.271892823 50 07 all_area fishprice 8 5.9829059829 108.32613585 0.1
30.769230769 75 07 all_area fishprice 8 5.9829059829 108.32613585 0.1
63.128917379 max 07 all_area fishprice 8 5.9829059829 108.32613585 0.1
14.786324786 0 08 all_area fishprice 8 5.9829059829 108.32613585 0.1
23.570549935 25 08 all_area fishprice 8 5.9829059829 108.32613585 0.1
26.421911422 50 08 all_area fishprice 8 5.9829059829 108.32613585 0.1
29.19710779 75 08 all_area fishprice 8 5.9829059829 108.32613585 0.1
57.400250156 max 08 all_area fishprice 8 5.9829059829 108.32613585 0.1
17.948717949 0 09 all_area fishprice 8 5.9829059829 108.32613585 0.1
26.965811966 25 09 all_area fishprice 8 5.9829059829 108.32613585 0.1
30.362969381 50 09 all_area fishprice 8 5.9829059829 108.32613585 0.1
36.6942853905 75 09 all_area fishprice 8 5.9829059829 108.32613585 0.1
72.572649573 max 09 all_area fishprice 8 5.9829059829 108.32613585 0.1
21.538461538 0 10 all_area fishprice 8 5.9829059829 108.32613585 0.1
28.22156476 25 10 all_area fishprice 8 5.9829059829 108.32613585 0.1
32.344305988 50 10 all_area fishprice 8 5.9829059829 108.32613585 0.1
35.4688940345 75 10 all_area fishprice 8 5.9829059829 108.32613585 0.1
62.319554549 max 10 all_area fishprice 8 5.9829059829 108.32613585 0.1
12.575010189 0 11 all_area fishprice 8 5.9829059829 108.32613585 0.1
25.47228753325 25 11 all_area fishprice 8 5.9829059829 108.32613585 0.1
29.108229229 50 11 all_area fishprice 8 5.9829059829 108.32613585 0.1
34.12568306 75 11 all_area fishprice 8 5.9829059829 108.32613585 0.1
61.102029915 max 11 all_area fishprice 8 5.9829059829 108.32613585 0.1
13.674838806 0 12 all_area fishprice 8 5.9829059829 108.32613585 0.1
25.054237757 25 12 all_area fishprice 8 5.9829059829 108.32613585 0.1
31.62969714 50 12 all_area fishprice 8 5.9829059829 108.32613585 0.1
46.964867418 75 12 all_area fishprice 8 5.9829059829 108.32613585 0.1
108.32613585 max 12 all_area fishprice 8 5.9829059829 108.32613585 0.1
19.660799481 0 01 all_area fishprice 28 11.4 54.837003881 0.1
20.596875306 25 01 all_area fishprice 28 11.4 54.837003881 0.1
22.048905263 50 01 all_area fishprice 28 11.4 54.837003881 0.1
22.679817737 75 01 all_area fishprice 28 11.4 54.837003881 0.1
23.54609977 max 01 all_area fishprice 28 11.4 54.837003881 0.1
11.4 0 02 all_area fishprice 28 11.4 54.837003881 0.1
22.88097713125 25 02 all_area fishprice 28 11.4 54.837003881 0.1
25.6868256685 50 02 all_area fishprice 28 11.4 54.837003881 0.1
28.88281878575 75 02 all_area fishprice 28 11.4 54.837003881 0.1
32.338662269 max 02 all_area fishprice 28 11.4 54.837003881 0.1
21.019693821 0 03 all_area fishprice 28 11.4 54.837003881 0.1
24.416088774 25 03 all_area fishprice 28 11.4 54.837003881 0.1
25.762084548 50 03 all_area fishprice 28 11.4 54.837003881 0.1
26.2052699455 75 03 all_area fishprice 28 11.4 54.837003881 0.1
31.81865098 max 03 all_area fishprice 28 11.4 54.837003881 0.1
25.551184085 0 04 all_area fishprice 28 11.4 54.837003881 0.1
29.859070895 25 04 all_area fishprice 28 11.4 54.837003881 0.1
30.448896402 50 04 all_area fishprice 28 11.4 54.837003881 0.1
30.716775618 75 04 all_area fishprice 28 11.4 54.837003881 0.1
31.507284617 max 04 all_area fishprice 28 11.4 54.837003881 0.1
24.993090257 0 05 all_area fishprice 28 11.4 54.837003881 0.1
26.054549539 25 05 all_area fishprice 28 11.4 54.837003881 0.1
29.450486656 50 05 all_area fishprice 28 11.4 54.837003881 0.1
31.507354082 75 05 all_area fishprice 28 11.4 54.837003881 0.1
36.89287296 max 05 all_area fishprice 28 11.4 54.837003881 0.1
35.769506082 0 06 all_area fishprice 28 11.4 54.837003881 0.1
38.846092581 25 06 all_area fishprice 28 11.4 54.837003881 0.1
42.2403615545 50 06 all_area fishprice 28 11.4 54.837003881 0.1
42.9728682 75 06 all_area fishprice 28 11.4 54.837003881 0.1
43.365046512 max 06 all_area fishprice 28 11.4 54.837003881 0.1
47.972742616 0 07 all_area fishprice 28 11.4 54.837003881 0.1
48.65512768 25 07 all_area fishprice 28 11.4 54.837003881 0.1
49.1317406785 50 07 all_area fishprice 28 11.4 54.837003881 0.1
50.3959100235 75 07 all_area fishprice 28 11.4 54.837003881 0.1
54.098207976 max 07 all_area fishprice 28 11.4 54.837003881 0.1
34.623915211 0 08 all_area fishprice 28 11.4 54.837003881 0.1
38.906152134 25 08 all_area fishprice 28 11.4 54.837003881 0.1
42.888862769 50 08 all_area fishprice 28 11.4 54.837003881 0.1
46.308183535 75 08 all_area fishprice 28 11.4 54.837003881 0.1
54.837003881 max 08 all_area fishprice 28 11.4 54.837003881 0.1
26.623445718 0 09 all_area fishprice 28 11.4 54.837003881 0.1
28.904516054 25 09 all_area fishprice 28 11.4 54.837003881 0.1
29.944969739 50 09 all_area fishprice 28 11.4 54.837003881 0.1
30.924317036 75 09 all_area fishprice 28 11.4 54.837003881 0.1
33.613944354 max 09 all_area fishprice 28 11.4 54.837003881 0.1
20.286726216 0 10 all_area fishprice 28 11.4 54.837003881 0.1
24.22477503525 25 10 all_area fishprice 28 11.4 54.837003881 0.1
26.0557262125 50 10 all_area fishprice 28 11.4 54.837003881 0.1
27.11669786975 75 10 all_area fishprice 28 11.4 54.837003881 0.1
29.060366972 max 10 all_area fishprice 28 11.4 54.837003881 0.1
23.760434603 0 11 all_area fishprice 28 11.4 54.837003881 0.1
24.90875042575 25 11 all_area fishprice 28 11.4 54.837003881 0.1
25.6371801285 50 11 all_area fishprice 28 11.4 54.837003881 0.1
27.1733350215 75 11 all_area fishprice 28 11.4 54.837003881 0.1
29.515491747 max 11 all_area fishprice 28 11.4 54.837003881 0.1
23.884098406 0 12 all_area fishprice 28 11.4 54.837003881 0.1
25.26863325575 25 12 all_area fishprice 28 11.4 54.837003881 0.1
25.602322617 50 12 all_area fishprice 28 11.4 54.837003881 0.1
26.12801986925 75 12 all_area fishprice 28 11.4 54.837003881 0.1
27.655757576 max 12 all_area fishprice 28 11.4 54.837003881 0.1
4.4144144144 0 01 all_area fishprice 19 3.0630630631 28.828828829 0.1
6.7297297297 25 01 all_area fishprice 19 3.0630630631 28.828828829 0.1
7.4054054054 50 01 all_area fishprice 19 3.0630630631 28.828828829 0.1
7.7747747748 75 01 all_area fishprice 19 3.0630630631 28.828828829 0.1
20 max 01 all_area fishprice 19 3.0630630631 28.828828829 0.1
3.6036036036 0 02 all_area fishprice 19 3.0630630631 28.828828829 0.1
6.3063063063 25 02 all_area fishprice 19 3.0630630631 28.828828829 0.1
7.1531531532 50 02 all_area fishprice 19 3.0630630631 28.828828829 0.1
7.9273423423 75 02 all_area fishprice 19 3.0630630631 28.828828829 0.1
