VE_REF FT_REF VE_FLT LE_MET_level6 LE_GEAR SI_LATI SI_LONG SI_SP SI_HE SI_STATE SI_DATE SI_TIME SI_HARB LE_KG_COD LE_KG_CSH LE_KG_DAB LE_KG_ELE LE_KG_FLE LE_KG_HAD LE_KG_HER LE_KG_HKE LE_KG_HOM LE_KG_LEM LE_KG_MAC LE_KG_MON LE_KG_MUS LE_KG_NEP LE_KG_NOP LE_KG_OYF LE_KG_PLE LE_KG_POK LE_KG_PRA LE_KG_SAN LE_KG_SOL LE_KG_SPR LE_KG_TUR LE_KG_WHB LE_KG_WHG LE_KG_WIT LE_EFF_VMS KW_HOURS flag land_harb pt_graph
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.794 12.668 2.4 3 1 01/12/2012 06:38 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3929
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.72 12.7053 5.6 193 1 02/12/2012 06:38 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3751
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7327 12.722 1 188 1 02/12/2012 07:38 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3841
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7153 12.7187 0.4 174 1 02/12/2012 09:38 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3841
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.5933 12.678 0 32 1 02/12/2012 12:38 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3409
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7133 12.6733 0.2 86 1 03/12/2012 05:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3751
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7253 12.67 2 156 1 03/12/2012 06:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3840
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7253 12.7013 5.6 68 1 03/12/2012 07:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3751
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7347 12.7327 5.2 62 1 03/12/2012 10:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 3841
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.8147 12.816 0.8 40 1 03/12/2012 12:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 4109
